(años),Confirmados,Hospitalizados,totales,UCI,Fallecidos,,,
n,n,%,n,%,n,%,Letalidad(%),
0-9,287,81,"0,2",6,"0,1",1,"0,0","0,3"
Oct-19,553,111,"0,2",5,"0,1",1,"0,0","0,2"
20-29,5.113,804,"1,6",50,"1,2",9,"0,2","0,2"
30-39,9.819,2.129,"4,4",143,"3,6",23,"0,4","0,2"
40-49,15.256,4.749,"9,7",369,"9,2",53,"0,9","0,3"
50-59,18.79,7.666,"15,7",764,"19,0",186,"3,2","1,0"
60-69,16.973,10.02,"20,5",1.276,"31,8",527,"8,9","3,1"
70-79,16.257,12.157,"24,9",1.263,"31,5",1.603,"27,2","9,9"
80-89,13.068,8.911,"18,2",126,"3,1",2.515,"42,6","19,2"
90 y +,4.339,2.236,"4,6",12,"0,3",986,"16,7","22,7"
Total,100.455,48.864,100%,4.014,100%,5.904,100%,
,,,,,,,,
,,,,,,,,
Grupo,de,,,,,,,
Mujeres,,,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados,totales,UCI,Fallecidos,,,
n,n,%,n,%,n,%,Letalidad(%),
0-9,139,34,"0,2",2,"0,2",1,"0,0","0,7"
Oct-19,289,58,"0,3",1,"0,1",1,"0,0","0,3"
20-29,3.267,402,"2,0",20,"1,7",3,"0,1","0,1"
30-39,5.841,986,"4,9",48,"4,1",8,"0,4","0,1"
40-49,8.334,1.884,"9,3",105,"8,9",19,"0,9","0,2"
50-59,10.008,3.03,"14,9",223,"19,0",56,"2,5","0,6"
60-69,7.797,3.959,"19,5",356,"30,3",153,"6,9","2,0"
70-79,6.765,4.746,"23,4",366,"31,1",455,"20,4","6,7"
80-89,6.557,3.957,"19,5",50,"4,3",1.007,"45,2","15,4"
90 y +,2.743,1.241,"6,1",4,"0,3",526,"23,6","19,2"
Total,51.74,20.297,100%,1.175,100%,2.229,100%,
,,,,,,,,
,,,,,,,,
Grupo,de,,,,,,,
Hombres,,,,,,,,
edad,,,,,,,,
(años),Confirmados,Hospitalizados,totales,UCI,Fallecidos,,,
n,n,%,n,%,n,%,Letalidad(%),
0-9,148,47,"0,2",4,"0,1",0,"0,0","0,0"
Oct-19,264,53,"0,2",4,"0,1",0,"0,0","0,0"
20-29,1.84,398,"1,4",30,"1,1",6,"0,2","0,3"
30-39,3.976,1.142,"4,0",95,"3,3",15,"0,4","0,4"
40-49,6.92,2.865,"10,0",264,"9,3",34,"0,9","0,5"
50-59,8.775,4.635,"16,2",541,"19,1",130,"3,5","1,5"
60-69,9.172,6.059,"21,2",920,"32,4",374,"10,2","4,1"
70-79,9.486,7.409,"25,9",896,"31,6",1.148,"31,2","12,1"
80-89,6.509,4.953,"17,3",76,"2,7",1.508,"41,0","23,2"
90 y +,1.594,995,"3,5",8,"0,3",460,"12,5","28,9"
Total,48.684,28.556,100%,2.838,100%,3.675,100%,
